Lámina,Pieza,X (mm),Y (mm),Ancho (mm),Alto (mm),Área (m²)
1,Panel base,0,0,600,1200,0.720000
1,Panel base,604,0,600,1200,0.720000
1,Panel lateral,1208,0,600,800,0.480000
1,Panel lateral,1812,0,600,800,0.480000
1,Repisa,1208,804,600,400,0.240000
1,Repisa,1812,804,600,400,0.240000
2,Panel lateral,0,0,600,800,0.480000
2,Fondo cuadrado,604,0,500,500,0.250000
2,Fondo cuadrado,604,504,500,500,0.250000
2,Fondo cuadrado,1108,0,500,500,0.250000
2,Panel puerta,1108,504,450,700,0.315000
2,Panel puerta,1562,504,450,700,0.315000
2,Repisa,0,804,600,400,0.240000
2,Repisa,2016,0,400,600,0.240000
2,Repisa,2016,604,400,600,0.240000
2,Cajón frontal,1612,0,400,300,0.120000
2,Separador,604,1008,300,200,0.060000
3,Cajón frontal,0,0,300,400,0.120000
3,Cajón frontal,0,404,300,400,0.120000
3,Cajón frontal,0,808,300,400,0.120000
3,Cajón frontal,304,0,300,400,0.120000
3,Cajón frontal,304,404,300,400,0.120000
3,Travesaño,304,808,1000,200,0.200000
3,Travesaño,304,1012,1000,200,0.200000
3,Travesaño,1308,0,1000,200,0.200000
3,Travesaño,1308,204,200,1000,0.200000
3,Separador,608,0,300,200,0.060000
3,Separador,912,0,300,200,0.060000
3,Separador,608,204,200,300,0.060000
3,Separador,608,508,300,200,0.060000
3,Separador,812,204,200,300,0.060000
3,Separador,1016,204,200,300,0.060000
3,Separador,912,508,300,200,0.060000
